CLIENTE;ESTADO;REGIAO;RITO;ESCRITORIO;TIPO;VALOR;FORMA_PAGTO;RESULTADO
Auto Posto Mais 56;TO;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 280.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 57;BA;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 266.915,01; PARCELADO ;REALIZADO
Auto Posto Mais 58;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 6.936,38; A VISTA ;REALIZADO
Auto Posto Mais 59;MG;SUDESTE;JUDICIAL;Escritório 5;ACORDO;R$ 92.192,90; PARCELADO ;REALIZADO
Auto Posto Mais 60;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 174.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 61;MG;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 305.034,30; PARCELADO ;REALIZADO
Auto Posto Mais 62;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 850,00; A VISTA ;REALIZADO
Auto Posto Mais 63;PR;SUL;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 483.366,70; A VISTA ;REALIZADO
Auto Posto Mais 64;RJ;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 2.916.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 65;TO;NORTE;JUDICIAL;Escritório 3;ACORDO;R$ 783.509,61; PARCELADO ;REALIZADO
Auto Posto Mais 66;RN;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 255.788,56; A VISTA ;REALIZADO
Auto Posto Mais 67;RN;NORDESTE;JUDICIAL;Escritório 3;DECISÃO JUDICIAL;R$ 10.716,95; A VISTA ;REALIZADO
Auto Posto Mais 68;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 1.103,04; A VISTA ;REALIZADO
Auto Posto Mais 69;MG;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 385.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 70;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 218.520,93; A VISTA ;REALIZADO
Auto Posto Mais 71;RS;SUL;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 25.000,00; A VISTA ;REALIZADO
Auto Posto Mais 72;MT;CENTRO OESTE;JUDICIAL;Escritório 4;ACORDO;R$ 175.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 73;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 2.407,01; A VISTA ;REALIZADO
Auto Posto Mais 74;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 6.225,94; A VISTA ;REALIZADO
Auto Posto Mais 75;PA;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 850.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 76;MG;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 931.622,13; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 77;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 62.386,13; A VISTA ;REALIZADO
Auto Posto Mais 78;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 10.075,84; A VISTA ;REALIZADO
Auto Posto Mais 79;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 36.000,00; A VISTA ;REALIZADO
Auto Posto Mais 80;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 13.450,00; A VISTA ;REALIZADO
Auto Posto Mais 81;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 2.850,00; A VISTA ;REALIZADO
Auto Posto Mais 82;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 1.461.642,30; PARCELADO ;REALIZADO
Auto Posto Mais 83;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 150.000,00; A VISTA ;REALIZADO
Auto Posto Mais 84;GO ;CENTRO OESTE;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 5.436,32; A VISTA ;REALIZADO
Auto Posto Mais 85;PA;NORTE;JUDICIAL;Escritório 3;ACORDO;R$ 115.853,76; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 86;PA;NORTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 180.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 87;MA;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 160.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 88;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 3.766,33; A VISTA ;REALIZADO
Auto Posto Mais 89;SP;SÃO PAULO;JUDICIAL;Escritório 5;DECISÃO JUDICIAL;R$ 30.000,00; A VISTA ;REALIZADO
Auto Posto Mais 90;CE;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 360.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 91;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 150.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 92;CE;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 78.000,00; A VISTA ;NÃO REALIZADO
Auto Posto Mais 93;PI;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 390.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 94;CE;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 123.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 95;ES;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 145.283,09; A VISTA ;NÃO REALIZADO
Auto Posto Mais 96;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 870.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 97;RJ;SUDESTE;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 750.882,88; PARCELADO ;REALIZADO
Auto Posto Mais 98;CE;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 1.151.102,68; PARCELADO ;REALIZADO
Auto Posto Mais 99;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 195.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 100;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 11.472,28; A VISTA ;REALIZADO
Auto Posto Mais 101;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 95.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 102;RJ;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 56.061,06; A VISTA ;REALIZADO
