CLIENTE;ESTADO;REGIAO;RITO;ESCRITORIO;TIPO;VALOR;FORMA_PAGTO;RESULTADO
Rede Abastecedora Número 64;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 748,45; A VISTA ;REALIZADO
Rede Abastecedora Número 65;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 689,17; A VISTA ;REALIZADO
Rede Abastecedora Número 66;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 562,02; A VISTA ;REALIZADO
Rede Abastecedora Número 67;RJ;SUDESTE;JUDICIAL;Escritório 7;DECISÃO JUDICIAL;R$ 501,70; A VISTA ;REALIZADO
Rede Abastecedora Número 68;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 219,14; A VISTA ;REALIZADO
Rede Abastecedora Número 69;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 215.177,97; PARCELADO ;REALIZADO
Rede Abastecedora Número 70;DF;CENTRO OESTE;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 211.141,82; A VISTA ;REALIZADO
Rede Abastecedora Número 71;RS;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 200.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 72;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 400.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 73;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 308.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 74;BA;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 201.663,87; PARCELADO ;REALIZADO
Rede Abastecedora Número 75;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 309.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 76;RJ;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 150.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 77;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 120.746,92; A VISTA ;NÃO REALIZADO
Rede Abastecedora Número 78;SP;SÃO PAULO;JUDICIAL;Escritório 5;ACORDO;R$ 350.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 79;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 109.724,04; PARCELADO ;REALIZADO
Rede Abastecedora Número 80;ES;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 106.738,72; PARCELADO ;REALIZADO
Rede Abastecedora Número 81;ES;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 104.468,99; PARCELADO ;REALIZADO
Rede Abastecedora Número 82;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 310.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 83;MG;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 1.500.000,00; A VISTA ;NÃO REALIZADO
Rede Abastecedora Número 84;SP;SÃO PAULO;JUDICIAL;Escritório 7;DECISÃO JUDICIAL;R$ 35.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 85;MT;CENTRO OESTE;JUDICIAL;Escritório 7;ACORDO;R$ 313.994,26; PARCELADO ;REALIZADO
Rede Abastecedora Número 86;SP;SÃO PAULO;JUDICIAL;Escritório 5;DECISÃO JUDICIAL;R$ 27.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 87;GO;CENTRO OESTE;JUDICIAL;Escritório 6;ACORDO;R$ 1.530.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 88;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 70.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 89;PA;NORTE;JUDICIAL;Escritório 3;DECISÃO JUDICIAL;R$ 12.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 90;AM;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 1.550.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 91;RJ;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 1.560.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 92;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 62.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 93;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 1.580.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 94;SC;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 1.590.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 95;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 1.600.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 96;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 2.800.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 97;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 2.700.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 98;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 2.300.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 99;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 2.224.160,98; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 100;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 1.901.162,12; PARCELADO ;REALIZADO
Rede Abastecedora Número 101;PA;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 1.750.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 102;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 1.700.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 103;RS;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 1.000.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 104;RJ;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 933.171,90; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 105;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 860.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 106;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 834.897,56; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 107;RS;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 540.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 108;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 150.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 109;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 450.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 110;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 400.000,00; A VISTA ;NÃO REALIZADO
Rede Abastecedora Número 111;SC;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 325.884,02; PARCELADO ;REALIZADO
Rede Abastecedora Número 112;RJ;SUDESTE;JUDICIAL;Escritório 7;ACORDO;R$ 21.400.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 113;MA;NORTE;JUDICIAL;Escritório 3;ACORDO;R$ 308.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 114;PR;SUL;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 57.364,84; A VISTA ;REALIZADO
Rede Abastecedora Número 115;PR;SUL;JUDICIAL;Escritório 5;ACORDO;R$ 320.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 116;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 300.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 117;RJ;SUDESTE;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 16.727,80; A VISTA ;REALIZADO
Rede Abastecedora Número 118;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 190.071,43; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 119;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 78.659,30; PARCELADO ;REALIZADO
Rede Abastecedora Número 120;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 4.442,24; A VISTA ;REALIZADO
Rede Abastecedora Número 121;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 50.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 122;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 48.554,80; A VISTA ;REALIZADO
Rede Abastecedora Número 123;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 136,97; A VISTA ;REALIZADO
Rede Abastecedora Número 124;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 4.123.416,79; PARCELADO ;REALIZADO
Rede Abastecedora Número 125;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 756,55; A VISTA ;REALIZADO
Rede Abastecedora Número 126;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 617.402,34; A VISTA ;REALIZADO
Rede Abastecedora Número 127;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 1.172.863,46; PARCELADO ;REALIZADO
Rede Abastecedora Número 128;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 150.000,00; A VISTA ;REALIZADO
Rede Abastecedora Número 129;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 1.754.552,82; PARCELADO ;REALIZADO
Rede Abastecedora Número 130;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 3.345,86; A VISTA ;REALIZADO
Rede Abastecedora Número 131;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 463,38; A VISTA ;REALIZADO
Rede Abastecedora Número 132;SP;SÃO PAULO;JUDICIAL;Escritório 7;DECISÃO JUDICIAL;R$ 75.728,02; A VISTA ;REALIZADO
Rede Abastecedora Número 133;SP ;São Paulo;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 534,79; A VISTA ;REALIZADO
Rede Abastecedora Número 134;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 150.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 135;RO;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 215.000,00; PARCELADO ;NÃO REALIZADO
Rede Abastecedora Número 136;RS;SUL;JUDICIAL;Escritório 7;ACORDO;R$ 150.000,00; PARCELADO ;REALIZADO
