Auto Posto Nº 74,SP,SÃO PAULO,393188,SIM,45,CONHECIMENTO,NÃO,REALIZADO,10
Auto Posto Nº 75,RS,SUL,389941,NÃO,45,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Auto Posto Mais 4,SP,SÃO PAULO,316119,SIM,45,CONHECIMENTO,SIM,NÃO REALIZADO,13
Auto Posto Mais 21,SC,SUL,315212,NÃO,44,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Rede Abastecedora Número 85,MT,CENTRO OESTE,313994,SIM,44,EXECUÇÃO,NÃO,REALIZADO,9
Rede Abastecedora Número 73,SP,SÃO PAULO,308000,NÃO,44,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Auto Posto Nº 91,SP,SÃO PAULO,303731,SIM,44,EXECUÇÃO,SIM,REALIZADO,9
Rede Abastecedora Número 74,BA,NORDESTE,201664,SIM,44,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Mais 99,PR,SUL,195000,NÃO,44,EXECUÇÃO,NÃO,NÃO REALIZADO,12
Auto Posto Nº 133,SP,SÃO PAULO,154873,NÃO,44,CONHECIMENTO,NÃO,NÃO REALIZADO,11
Rede Abastecedora Número 13,SP,SÃO PAULO,704577,NÃO,44,CONHECIMENTO,SIM,REALIZADO,9
Csi Unidos,RJ,SUDESTE,4150000,SIM,44,EXECUÇÃO,SIM,REALIZADO,8
Úpsilon Comercializadora,MT,CENTRO OESTE,2721837,SIM,44,EXECUÇÃO,SIM,REALIZADO,12
Rede Abastecedora Número 129,SP,SÃO PAULO,1754553,SIM,44,EXECUÇÃO,SIM,REALIZADO,12
Rede Abastecedora Número 95,SP,SÃO PAULO,1600000,SIM,43,EXECUÇÃO,SIM,NÃO REALIZADO,12
Auto Posto Nº 21,MA,NORDESTE,1026000,SIM,43,EXECUÇÃO,NÃO,NÃO REALIZADO,8
Auto Posto Mais 75,PA,NORTE,850000,SIM,43,CONHECIMENTO,NÃO,REALIZADO,13
Auto Posto Mais 9,GO ,CENTRO OESTE,750000,SIM,43,EXECUÇÃO,SIM,NÃO REALIZADO,8
Auto Posto Nº 40,SP,SÃO PAULO,747000,SIM,43,EXECUÇÃO,NÃO,NÃO REALIZADO,13
Auto Posto Nº 58,DF,CENTRO OESTE,485000,SIM,42,EXECUÇÃO,SIM,REALIZADO,9
Rede Abastecedora Número 109,SP,SÃO PAULO,450000,NÃO,42,CONHECIMENTO,NÃO,NÃO REALIZADO,11
Auto Posto Nº 90,RJ,SUDESTE,358678,NÃO,40,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Quarta-feira,PR,SUL,313784,NÃO,40,CONHECIMENTO,NÃO,NÃO REALIZADO,10
Rede Abastecedora Número 70,DF,CENTRO OESTE,211142,SIM,40,EXECUÇÃO,SIM,REALIZADO,8
